match_id,home_team_id,away_team_id,home_ht_goals,away_ht_goals,home_ht_shots,away_ht_shots,home_ht_sog,away_ht_sog,home_ht_corners,away_ht_corners,home_ht_fouls,away_ht_fouls,ht_goals_diff,ht_shots_diff,ht_sog_diff,ht_fouls_diff,final_outcome
3802643,138,131,1,1,4,6,1,3,0,0,9,4,0,-2,-2,5,Draw
3803000,152,131,1,2,4,5,2,4,0,0,3,2,-1,-1,-2,1,Loss
3802802,131,156,1,0,9,4,2,2,0,0,3,7,1,5,0,-4,Win
3802696,156,131,0,1,2,9,0,2,0,0,6,6,-1,-7,-2,0,Loss
3802699,131,143,0,1,4,6,1,2,0,0,0,7,-1,-2,-1,-7,Win
3802685,168,131,0,0,11,6,5,3,0,0,4,4,0,5,2,0,Draw
3802665,139,131,0,3,4,11,2,7,0,0,2,5,-3,-7,-5,-3,Loss
3802752,131,137,0,0,6,8,3,4,0,0,5,12,0,-2,-1,-7,Win
3802809,134,131,1,0,7,6,2,0,0,0,5,3,1,1,2,2,Win
3802676,131,168,0,0,9,5,2,2,0,0,7,6,0,4,0,1,Draw
3802983,131,147,2,1,7,1,3,1,0,0,8,7,1,6,2,1,Win
3802907,143,131,1,3,5,9,3,3,0,0,11,3,-2,-4,0,8,Loss
3802902,147,131,0,0,5,8,0,3,0,0,5,6,0,-3,-3,-1,Draw
3802818,131,165,2,0,10,1,4,0,0,0,4,10,2,9,4,-6,Win
3802683,131,129,2,0,6,8,2,0,0,0,3,9,2,-2,2,-6,Win
3802690,165,131,1,0,11,6,4,0,0,0,4,3,1,5,4,1,Draw
3802904,131,146,1,0,6,8,1,2,0,0,2,7,1,-2,-1,-5,Win
3802837,135,131,1,1,3,6,2,4,0,0,6,6,0,-3,-2,0,Loss
3802984,131,144,1,0,8,2,5,1,0,0,4,8,1,6,4,-4,Win
3802805,136,131,0,0,5,4,2,1,0,0,9,2,0,1,1,7,Win
3802709,131,135,1,1,8,6,3,4,0,0,4,10,0,2,-1,-6,Win
3802948,131,141,3,0,13,4,6,1,0,0,3,8,3,9,5,-5,Win
3802930,131,133,2,1,8,7,4,1,0,0,8,11,1,1,3,-3,Draw
3802793,131,136,0,0,10,2,3,2,0,0,2,6,0,8,1,-4,Draw
3802839,144,131,3,0,9,7,6,5,0,0,11,5,3,2,1,6,Win
3802795,131,134,0,0,5,5,0,1,0,0,6,4,0,0,-1,2,Win
